Name,Rating,Number_of_Ratings,Category,Subcategory,Brand,Price,Discount,Sold_by,Image
"DOOGEE S Punk Pro(2025) Rugged Phone,20GB+512GB Android 14 Rugged Cell Phone with 128dB Loudest Speaker,6.6 FHD+ IPS 90Hz,10800mAh Rugged Smartphone,50MP AI Camera,Waterproof Phone,Face Unlock/NFC",4.1,64.0,Cell Phones & Accessories,Cell Phones,DOOGEE,239.0,-0.23,Amazon,https://m.media-amazon.com/images/I/81Z5dvK1IlL._AC_SX679_.jpg
"Ulefone Note 21 Cell Phone 2025 Android 14 8GB + 128GB/1TB SD, Octa Core 6.56"" HD+ 2.5D 90Hz, 13P + 8MP Camera 5000mAh Smartphone, 4G Dual SIM Fingerprint + Face ID GPS OTG Phones Unlocked- Black",3.9,33.0,Cell Phones & Accessories,Cell Phones,Ulefone,89.0,,Amazon,https://m.media-amazon.com/images/I/712LUcUBJCL._AC_SX679_.jpg
"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design,US Version, 2024, Awesome Navy (Renewed)",3.9,64.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,49.0,,,https://m.media-amazon.com/images/I/61R5WdNY8LL._AC_SX522_.jpg
"Motorola Moto Edge 50 Fusion 5G (XT2429-1) Dual Sim | GSM Unlocked | 6.7"" P-OLED 120Hz Display | 8GB Ram 256GB Storage - International Version - (Green)",4.3,159.0,Cell Phones & Accessories,Cell Phones,Motorola,263.0,-0.2,Amazon,https://m.media-amazon.com/images/I/51jEUCE7e0L._AC_.jpg
Google Pixel Fold - Unlocked Android 5G Smartphone with Telephoto Lens and Ultrawide Lens - Foldable Display - 24-Hour Battery - Obsidian - 256 GB,4.0,132.0,Cell Phones & Accessories,Cell Phones,Google,749.0,,Amazon,https://m.media-amazon.com/images/I/71MDT0OqJnL._AC_SX679_.jpg
"Alcatel 1 (16GB) 5.0"" Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US & Global 4G LTE International Version 5033E (Bluish Black)",3.6,2288.0,Cell Phones & Accessories,Cell Phones,Alcatel,54.0,,Amazon,https://m.media-amazon.com/images/I/81wN2woIouL._AC_SX679_.jpg
Motorola razr | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Beach Sand,4.0,306.0,Cell Phones & Accessories,Cell Phones,Motorola,499.0,-0.29,Amazon.com,https://m.media-amazon.com/images/I/61-0BtzHKBL._AC_SX679_.jpg
"Alcatel 1 (16GB) 5.0"" Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US & Global 4G LTE International Version 5033E (Bluish Black)",3.6,2288.0,Cell Phones & Accessories,Cell Phones,Alcatel,54.0,,Amazon,https://m.media-amazon.com/images/I/81wN2woIouL._AC_SX679_.jpg
Google Pixel Fold - Unlocked Android 5G Smartphone with Telephoto Lens and Ultrawide Lens - Foldable Display - 24-Hour Battery - Obsidian - 256 GB,4.0,132.0,Cell Phones & Accessories,Cell Phones,Google,749.0,,Amazon,https://m.media-amazon.com/images/I/71MDT0OqJnL._AC_SX679_.jpg
Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 256GB - Stormy Black,4.2,4950.0,Cell Phones & Accessories,Cell Phones,Google,299.0,,Amazon,https://m.media-amazon.com/images/I/61KfUtmSrzL._AC_SX522_.jpg
Unihertz Jelly Max Unique Smartphone 5G Android 14 66W Fast Charging12GB RAM 256GB ROM 100MP Compatible with T-Mobile and Verizon only,,,Cell Phones & Accessories,Cell Phones,Unihertz,319.0,,Amazon,https://m.media-amazon.com/images/I/51FxPmC-cBL._AC_SX679_.jpg
