Name,Rating,Number_of_Ratings,Category,Subcategory,Brand,Price,Discount,Sold_by,Image
"Samsung Galaxy S25 Ultra, 512GB Smartphone, Unlocked Android, AI Night Mode Camera, Snapdragon 8 Elite Fast Processor, 5000mAh Battery, Built-in S Pen, 2025, US 1 Yr Warranty, Titanium Black",4.5 out of 5 stars,"2,250 Reviews",Cell Phones & Accessories,Cell Phones,Samsung,"1,119.",-21%,Amazon.com,https://m.media-amazon.com/images/I/61n0lmxP5-L._AC_SX679_.jpg
"Samsung Galaxy A16 5G A Series, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, 5G Connectivity, US Version, 2025, Blue Black",4.2 out of 5 stars,"1,761 Reviews",Cell Phones & Accessories,Cell Phones,Samsung,199.,,Amazon.com,https://m.media-amazon.com/images/I/71KGkQ+KOKL._AC_SX679_.jpg
"SAMSUNG Galaxy S24 FE AI Phone, 128GB Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, AMOLED Bright Display, US Version, 2024, US 1 Yr Warranty, Graphite",4.5 out of 5 stars,"1,370 Reviews",Cell Phones & Accessories,Cell Phones,SAMSUNG,969.,,,https://m.media-amazon.com/images/I/61uakkLoHxL._AC_SX679_.jpg
Motorola Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,4.2 out of 5 stars,"2,953 Reviews",Cell Phones & Accessories,Cell Phones,Motorola,139.,-30%,Amazon.com,https://m.media-amazon.com/images/I/61TTdTnaEeL._AC_SX679_.jpg
"Tracfone Moto G Play (2023) [Activation Promotion], 32GB, Blue, Includes 1500Min/1500Txt/1500MB, 365 Days Service Plan - Prepaid Smartphone",4.3 out of 5 stars,"1,244 Reviews",Cell Phones & Accessories,Cell Phones,TracFone,49.,,Amazon.com,
Motorola Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,4.5 out of 5 stars,963 Reviews,Cell Phones & Accessories,Cell Phones,Motorola,249.,-38%,Amazon.com,https://m.media-amazon.com/images/I/61LE9-6KxdL.__AC_SX300_SY300_QL70_FMwebp_.jpg
"SAMSUNG Galaxy S22 Ultra 5G, US Version, 512GB, Phantom Black - Unlocked (Renewed)",3.7 out of 5 stars,"5,223 Reviews",Cell Phones & Accessories,Cell Phones,SAMSUNG,99.,,,https://m.media-amazon.com/images/I/61U6oC65TTL._AC_SX679_.jpg
"OnePlus 13R, 12GB RAM + 256GB Storage, Dual-SIM, Unlocked Android Smartphone, Powered by Snapdragon 8 Gen 3, 55W SUPERVOOC Fast Charging, 2025, Nebula Noir",4.6 out of 5 stars,136 Reviews,Cell Phones & Accessories,Cell Phones,OnePlus,849.,,,https://m.media-amazon.com/images/I/71lmumt9z8L._AC_SX679_.jpg
"Apple iPhone 12, 64GB, Blue - Unlocked (Renewed)",4.0 out of 5 stars,"31,646 Reviews",Cell Phones & Accessories,Cell Phones,Apple,212.,,,
"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7"", Dual SIM, 50MP Triple Camera (Case Bundle), Black",3.9 out of 5 stars,"1,354 Reviews",Cell Phones & Accessories,Cell Phones,SAMSUNG,130.,,Amazon,https://m.media-amazon.com/images/I/61Lp1UcxeLL._AC_SX679_.jpg
"Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)",4.1 out of 5 stars,"2,930 Reviews",Cell Phones & Accessories,Cell Phones,Apple,79.,,,
Samsung Galaxy S22+ 5G S906U 128GB GSM/CDMA Unlocked Android Smartphone (USA Version) - Phantom Black (Renewed),4.2 out of 5 stars,"1,786 Reviews",Cell Phones & Accessories,Cell Phones,SAMSUNG,239.,,,https://m.media-amazon.com/images/I/61R5xNY4ZWL._AC_SX569_.jpg
"Samsung Galaxy Z Fold7 Cell Phone, 512GB AI Smartphone, Unlocked Android, AI Photo Edits, Large Screen, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, Silver Shadow",4.4 out of 5 stars,105 Reviews,Cell Phones & Accessories,Cell Phones,Samsung,"1,819.",-14%,Amazon.com,https://m.media-amazon.com/images/I/71Q2nfOzmmL._AC_SX679_.jpg
"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",4.0 out of 5 stars,"13,226 Reviews",Cell Phones & Accessories,Cell Phones,SAMSUNG,138.,,,https://m.media-amazon.com/images/I/61XyNdmvr6L.__AC_SX300_SY300_QL70_FMwebp_.jpg
"TracFone Motorola Moto g 5G (2024) [Activation Promotion] Locked Prepaid Smartphone, 128GB, Gray - Includes $20 Unlimited Talk, Text, & 4GB Data 30-Day Plan",4.3 out of 5 stars,99 Reviews,Cell Phones & Accessories,Cell Phones,TracFone,49.,,Amazon.com,
"Apple iPhone 13, 128GB, Blue - Unlocked (Renewed)",4.0 out of 5 stars,"18,205 Reviews",Cell Phones & Accessories,Cell Phones,Apple,149.,,,
"8849 Tank 2 Pro Rugged Smartphone Unlocked, 24+512GB/1TB Android 14 Rugged Cell Phone with Projector, 6.79’’ 4G Waterproof Mobile Phones 23800mAh, Fingerprint/Dual Sim/OTG/GPS/Face ID",4.2 out of 5 stars,70 Reviews,Cell Phones & Accessories,Cell Phones,8849,449.,,Amazon,https://m.media-amazon.com/images/I/71BOkn2sodL._AC_SX569_.jpg
"OUKITEL G3 Rugged Smartphone Unlocked -16GB+128GB/1TB TF 6” HD Display IP68/IP69K Rugged Cell Phones, 6300mAh Battery 13MP Rear Camera Waterproof Android Phone, GPS/3.5mm Jack/4G Dual Sim/Face ID",4.6 out of 5 stars,37 Reviews,Cell Phones & Accessories,Cell Phones,OUKITEL,169.,,Amazon,https://m.media-amazon.com/images/I/81RuzvJtvYL._AC_SX679_.jpg
"SAMSUNG Galaxy A16 5G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Water Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A166M/DS Blue Black",4.2 out of 5 stars,283 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,172.,,Amazon,
"CMF Phone 1 8+128GB - Unlocked Smartphone with 50 MP Rear Camera with Ultra XDR, 6,67"" Super AMOLED Display and Nothing OS 2.6 - Light Green",4.5 out of 5 stars,533 Reviews,Cell Phones & Accessories,Cell Phones,CMF BY NOTHING,199.,-23%,Amazon,https://m.media-amazon.com/images/I/71Pc3Cb9HjL._AC_SX679_.jpg
Samsung Electronics Galaxy Note 20 5G Unlocked Android Cell Phone | US Version | 128GB of Storage | Mobile Gaming Smartphone | Long-Lasting Battery | Mystic Gray (Renewed),4.0 out of 5 stars,"2,425 Reviews",Cell Phones & Accessories,Cell Phones,SAMSUNG,25.,,,
"SAMSUNG Galaxy S25 Ultra SM-S938B/DS 256GB 12GB RAM AI Smartphone, Factory Unlocked, Global Model - Titanium Black",4.0 out of 5 stars,34 Reviews,Cell Phones & Accessories,Cell Phones,SAMSUNG,979.,,Amazon,https://m.media-amazon.com/images/I/21Na3naSCdL._AC_.jpg
